"","x"
"254","RPL_30k_cell20168_4"
"255","RPL_30k_cell41447_4"
"256","RPL_30k_cell46547_4"
"257","RPL_30k_cell53024_4"
"258","RPL_30k_cell56094_4"
"259","RPL_30k_cell64921_4"
"260","RPL_30k_cell68835_4"
"261","RPL_30k_cell70623_4"
"262","RPL_30k_cell71858_4"
"263","RPL_30k_cell77794_4"
"264","RPL_30k_cell105208_4"
"265","RPL_30k_cell128055_4"
"266","RPL_30k_cell136554_4"
"267","RPL_30k_cell137760_4"
"268","RPL_30k_cell147750_4"
"269","RPL_30k_cell167986_4"
"270","RPL_30k_cell168166_4"
"271","RPL_30k_cell175681_4"
"272","RPL_30k_cell176229_4"
"273","RPL_30k_cell176352_4"
"274","RPL_30k_cell186776_4"
"275","RPL_30k_cell199464_4"
"276","RPL_30k_cell207114_4"
"277","RPL_30k_cell209687_4"
"278","RPL_30k_cell228642_4"
"279","RPL_30k_cell251705_4"
"280","RPL_30k_cell253566_4"
"281","RPL_30k_cell254233_4"
"282","RPL_30k_cell256283_4"
"283","RPL_30k_cell264500_4"
"284","RPL_30k_cell289357_4"
"285","RPL_30k_cell305915_4"
"286","RPL_30k_cell308490_4"
"287","RPL_30k_cell316242_4"
"288","RPL_30k_cell317725_4"
"289","RPL_30k_cell345307_4"
"290","RPL_30k_cell355124_4"
"291","RPL_30k_cell355972_4"
"292","RPL_30k_cell369443_4"
"293","RPL_30k_cell374869_4"
"294","RPL_30k_cell378124_4"
"295","RPL_30k_cell394446_4"
"296","RPL_30k_cell397459_4"
"297","RPL_30k_cell402342_4"
"298","RPL_30k_cell406016_4"
"299","RPL_30k_cell409987_4"
"300","RPL_30k_cell422706_4"
"301","RPL_30k_cell436283_4"
"302","RPL_30k_cell438501_4"
"303","RPL_30k_cell438985_4"
"304","RPL_30k_cell439091_4"
"305","RPL_30k_cell443858_4"
"306","RPL_30k_cell463010_4"
"307","RPL_30k_cell493315_4"
"308","RPL_30k_cell508395_4"
"309","RPL_30k_cell538851_4"
"310","RPL_30k_cell541894_4"
"311","RPL_30k_cell546055_4"
"312","RPL_30k_cell554209_4"
"313","RPL_30k_cell568055_4"
"314","RPL_30k_cell584078_4"
"315","RPL_30k_cell588019_4"
"316","RPL_30k_cell596354_4"
"317","RPL_30k_cell604967_4"
"318","RPL_30k_cell608561_4"
"319","RPL_30k_cell622214_4"
"320","RPL_30k_cell641782_4"
"321","RPL_30k_cell642913_4"
"322","RPL_30k_cell668235_4"
"323","RPL_30k_cell671707_4"
"324","RPL_30k_cell687708_4"
"325","RPL_30k_cell703579_4"
"326","RPL_30k_cell721807_4"
"327","RPL_30k_cell724706_4"
"328","RPL_30k_cell732360_4"
"329","RUL_neg_cell6331_4"
"330","RUL_neg_cell90426_4"
"331","RUL_neg_cell136139_4"
"332","RUL_neg_cell231601_4"
"333","RUL_neg_cell298910_4"
"334","RUL_neg_cell364305_4"
"335","RUL_neg_cell383293_4"
"336","RUL_neg_cell399656_4"
"337","RUL_neg_cell460779_4"
"338","RUL_neg_cell540150_4"
"339","RUL_neg_cell629446_4"
"340","RUL_neg_cell701706_4"
"341","RUL_10k_cell337456_4"
"342","RUL_30k_cell306546_4"
"343","LPL_neg_cell6424_4"
"344","LPL_neg_cell6708_4"
"345","LPL_neg_cell9880_4"
"346","LPL_neg_cell11552_4"
"347","LPL_neg_cell26354_4"
"348","LPL_neg_cell33315_4"
"349","LPL_neg_cell36433_4"
"350","LPL_neg_cell38662_4"
"351","LPL_neg_cell40416_4"
"352","LPL_neg_cell41190_4"
"353","LPL_neg_cell41393_4"
"354","LPL_neg_cell81755_4"
"355","LPL_neg_cell83423_4"
"356","LPL_neg_cell84568_4"
"357","LPL_neg_cell84598_4"
"358","LPL_neg_cell91819_4"
"359","LPL_neg_cell94443_4"
"360","LPL_neg_cell97344_4"
"361","LPL_neg_cell108108_4"
"362","LPL_neg_cell108736_4"
"363","LPL_neg_cell110879_4"
"364","LPL_neg_cell111690_4"
"365","LPL_neg_cell115971_4"
"366","LPL_neg_cell117544_4"
"367","LPL_neg_cell121260_4"
"368","LPL_neg_cell126327_4"
"369","LPL_neg_cell132100_4"
"370","LPL_neg_cell135149_4"
"371","LPL_neg_cell136139_4"
"372","LPL_neg_cell140107_4"
"373","LPL_neg_cell150663_4"
"374","LPL_neg_cell163345_4"
"375","LPL_neg_cell164131_4"
"376","LPL_neg_cell167959_4"
"377","LPL_neg_cell173688_4"
"378","LPL_neg_cell181226_4"
"379","LPL_neg_cell183877_4"
"380","LPL_neg_cell201109_4"
"381","LPL_neg_cell205566_4"
"382","LPL_neg_cell212890_4"
"383","LPL_neg_cell224172_4"
"384","LPL_neg_cell224610_4"
"385","LPL_neg_cell225421_4"
"386","LPL_neg_cell231601_4"
"387","LPL_neg_cell233464_4"
"388","LPL_neg_cell236793_4"
"389","LPL_neg_cell240058_4"
"390","LPL_neg_cell242808_4"
"391","LPL_neg_cell243657_4"
"392","LPL_neg_cell245349_4"
"393","LPL_neg_cell246976_4"
"394","LPL_neg_cell248657_4"
"395","LPL_neg_cell250648_4"
"396","LPL_neg_cell262547_4"
"397","LPL_neg_cell271525_4"
"398","LPL_neg_cell276524_4"
"399","LPL_neg_cell277813_4"
"400","LPL_neg_cell287739_4"
"401","LPL_neg_cell290183_4"
"402","LPL_neg_cell294064_4"
"403","LPL_neg_cell303598_4"
"404","LPL_neg_cell303632_4"
"405","LPL_neg_cell311999_4"
"406","LPL_neg_cell315276_4"
"407","LPL_neg_cell315681_4"
"408","LPL_neg_cell317401_4"
"409","LPL_neg_cell319049_4"
"410","LPL_neg_cell338446_4"
"411","LPL_neg_cell339023_4"
"412","LPL_neg_cell339915_4"
"413","LPL_neg_cell342327_4"
"414","LPL_neg_cell343806_4"
"415","LPL_neg_cell344505_4"
"416","LPL_neg_cell356039_4"
"417","LPL_neg_cell357135_4"
"418","LPL_neg_cell358211_4"
"419","LPL_neg_cell362733_4"
"420","LPL_neg_cell363016_4"
"421","LPL_neg_cell364305_4"
"422","LPL_neg_cell372571_4"
"423","LPL_neg_cell375451_4"
"424","LPL_neg_cell388969_4"
"425","LPL_neg_cell390476_4"
"426","LPL_neg_cell393906_4"
"427","LPL_neg_cell402155_4"
"428","LPL_neg_cell402450_4"
"429","LPL_neg_cell416461_4"
"430","LPL_neg_cell419793_4"
"431","LPL_neg_cell423494_4"
"432","LPL_neg_cell427752_4"
"433","LPL_neg_cell429075_4"
"434","LPL_neg_cell442554_4"
"435","LPL_neg_cell443991_4"
"436","LPL_neg_cell449846_4"
"437","LPL_neg_cell456966_4"
"438","LPL_neg_cell459649_4"
"439","LPL_neg_cell463331_4"
"440","LPL_neg_cell465772_4"
"441","LPL_neg_cell468022_4"
"442","LPL_neg_cell470475_4"
"443","LPL_neg_cell489954_4"
"444","LPL_neg_cell498285_4"
"445","LPL_neg_cell507795_4"
"446","LPL_neg_cell515011_4"
"447","LPL_neg_cell527393_4"
"448","LPL_neg_cell531061_4"
"449","LPL_neg_cell535705_4"
"450","LPL_neg_cell535761_4"
"451","LPL_neg_cell535829_4"
"452","LPL_neg_cell536230_4"
"453","LPL_neg_cell540150_4"
"454","LPL_neg_cell540246_4"
"455","LPL_neg_cell542182_4"
"456","LPL_neg_cell550084_4"
"457","LPL_neg_cell557431_4"
"458","LPL_neg_cell561781_4"
"459","LPL_neg_cell583887_4"
"460","LPL_neg_cell602522_4"
"461","LPL_neg_cell602703_4"
"462","LPL_neg_cell612650_4"
"463","LPL_neg_cell613306_4"
"464","LPL_neg_cell614989_4"
"465","LPL_neg_cell622720_4"
"466","LPL_neg_cell629303_4"
"467","LPL_neg_cell643893_4"
"468","LPL_neg_cell656330_4"
"469","LPL_neg_cell664403_4"
"470","LPL_neg_cell692463_4"
"471","LPL_neg_cell702791_4"
"472","LPL_neg_cell706417_4"
"473","LPL_neg_cell713928_4"
"474","LPL_neg_cell716632_4"
"475","LPL_neg_cell721929_4"
"476","LPL_neg_cell735228_4"
"477","LPL_neg_cell735332_4"
"478","LPL_cell42019_4"
"479","LPL_cell249488_4"
"480","LPL_cell257067_4"
"481","LPL_cell370761_4"
"482","LPL_cell459745_4"
"483","LPL_cell474612_4"
"484","LPL_cell479362_4"
"485","LPL_cell560574_4"
"486","LPL_cell574067_4"
"487","LPL_cell577693_4"
"488","LPL_cell614002_4"
"489","LPL_cell701944_4"
"490","LPL_cell725734_4"
"491","LPL_cell728678_4"
"492","LUL_neg_cell41190_4"
"493","LUL_neg_cell108108_4"
"494","LUL_neg_cell136139_4"
"495","LUL_neg_cell231601_4"
"496","LUL_neg_cell364305_4"
"497","LUL_neg_cell540150_4"
"498","RPL_2negT_cell65927_7"
"499","RPL_2negT_cell131757_7"
"500","RPL_2negT_cell160872_7"
"501","RPL_2negT_cell210507_7"
"502","RPL_2negT_cell264239_7"
"503","RPL_2negT_cell279073_7"
"504","RPL_2negT_cell408482_7"
"505","RPL_2negT_cell422623_7"
"506","RPL_2negT_cell422889_7"
"507","RPL_2negT_cell494628_7"
"508","RPL_2negT_cell496212_7"
"509","RPL_2negT_cell537362_7"
"510","RPL_2negT_cell594899_7"
"511","RPL_2negT_cell623198_7"
"512","RPL_2negT_cell650321_7"
"513","RPL_2negT_cell675990_7"
"514","RPL_2negT_cell781870_7"
"515","RPL_2negT_cell885966_7"
"516","RPL_2negT_cell950145_7"
"517","RPL_2negT_cell987308_7"
"518","RPL_2negT_cell987997_7"
"519","RPL_2negT_cell1031431_7"
"520","RPL_2negT_cell1202825_7"
"521","RPL_2negT_cell1337181_7"
"522","RPL_2negT_cell1407589_7"
"523","RPL_2negT_cell1433612_7"
"524","RPL_2negT_cell1445806_7"
"525","RPL_2negT_cell1466048_7"
"526","RPL_2negT_cell1467372_7"
"527","RPL_2negT_cell1579885_7"
"528","RPL_2negT_cell1602857_7"
"529","RPL_2negT_cell1671622_7"
"530","RPL_2negT_cell1698497_7"
"531","RPL_2negT_cell1707048_7"
"532","RPL_2negT_cell1745827_7"
"533","RPL_2negT_cell1762455_7"
"534","RPL_2negT_cell1791956_7"
"535","RPL_2negT_cell1811266_7"
"536","RPL_2negT_cell1846898_7"
"537","RPL_2negT_cell1874549_7"
"538","RPL_2negT_cell1914374_7"
"539","RPL_2negT_cell2116197_7"
"540","RPL_2negT_cell2122972_7"
"541","RPL_2negT_cell2186895_7"
"542","RPL_2negT_cell2189898_7"
"543","RPL_2negT_cell2198434_7"
"544","RPL_2negT_cell2269075_7"
"545","RPL_2negT_cell2287806_7"
"546","RPL_2negT_cell2296146_7"
"547","RPL_2negT_cell2408261_7"
"548","RPL_2negT_cell2444121_7"
"549","RPL_2negT_cell2543148_7"
"550","RPL_2negT_cell2718526_7"
